domain,ip,port,service,severity,description,recommendation,banner,,,,,
6-kaspersky-com.sm.kaspersky.com,89.169.165.198,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:01:59 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 615
Last-Modified: Tue, 11 Apr 2023 01:45:34 GMT
Connection: keep-alive
",,,,,
boutique.center.kaspersky.com,35.186.208.154,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:02:53 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 100
Vary: Accept-Encoding
Via: 1.1 google

Server KY_KPCFR is inactive!",,,,,
images.geo.kaspersky.com,62.128.100.147,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:04:34 GMT
Content-Type: image/gif
Content-Length: 43
Last-Modified: Mon, 28 Sep 1970 06:00:00 GMT
Connection: keep-alive
Keep-Alive: time",,,,,
images.kaspersky.com,62.128.100.147,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:04:34 GMT
Content-Type: image/gif
Content-Length: 43
Last-Modified: Mon, 28 Sep 1970 06:00:00 GMT
Connection: keep-alive
Keep-Alive: time",,,,,
loja.center.kaspersky.com,35.186.208.154,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:05:31 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 100
Vary: Accept-Encoding
Via: 1.1 google

Server KY_KPCPT is inactive!",,,,,
m.tienda.kaspersky.com,35.190.77.104,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:05:38 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 4234
Set-Cookie: PHPSESSID=11c01e51f6145b50ab36361ef0081eca; path=/; Secur",,,,,
tienda.center.kaspersky.com,35.186.208.154,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:07:52 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 100
Vary: Accept-Encoding
Via: 1.1 google

Server KY_KPCSP is inactive!",,,,,
tienda.kaspersky.com,35.190.77.104,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:07:52 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 4234
Set-Cookie: PHPSESSID=47237ac749f110b9bcf8c2a04351d197; path=/; Secur",,,,,
tour-kaspersky-com-prod.sm.kaspersky.com,89.169.165.198,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:07:53 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 615
Last-Modified: Tue, 11 Apr 2023 01:45:34 GMT
Connection: keep-alive
",,,,,
tour-kaspersky-com.sm.kaspersky.com,89.169.165.198,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:07:54 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 615
Last-Modified: Tue, 11 Apr 2023 01:45:34 GMT
Connection: keep-alive
",,,,,
touch.kaspersky.com,80.239.170.149,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:07:55 GMT
Content-Type: text/plain
Content-Length: 22
Connection: keep-alive
Keep-Alive: timeout=40

touch.kaspersky.com OK",,,,,
premiumsupport.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: http://premiumsupport.kaspersky.com/?filter=pre",,,,,
mac.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: http://redirect.kaspersky.com/sales?webproject=",,,,,
mac.usa.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: http://redirect.kaspersky.com/sales?webproject=",,,,,
sms.kaspersky.com,93.159.228.24,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: http://support.kaspersky.com/viruses/sms
Serve",,,,,
tunisia.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://afrique.kaspersky.com
Server: 
Strict",,,,,
brandcentral.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://brand.kaspersky.com
Server: 
Strict-T",,,,,
csr.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://esg.kaspersky.com/
Server: 
Strict-Tr",,,,,
sf.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://hcm55.sapsf.eu/sf/start?company=KL
Ser",,,,,
help.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://help.kaspersky.com/
Server: 
Strict-T",,,,,
mysupport.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://intranet.kaspersky.com/mysupport
Serve",,,,,
media.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://media.kaspersky.com/
Server: 
Strict-",,,,,
mepartnerconference.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://mepartnerconference.kaspersky.com/
Ser",,,,,
newvirus.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://newvirus.kaspersky.com/
Server: 
Stri",,,,,
empartner.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://partners.kaspersky.com
Server: 
Stric",,,,,
mobile.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://play.google.com/store/apps/details?id=c",,,,,
support.kaspersky.com,93.159.228.24,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://support.kaspersky.com/
Server: 
Stric",,,,,
support2.kaspersky.com,93.159.228.24,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://support.kaspersky.com/
Server: 
Stric",,,,,
m.usa.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://usa.kaspersky.com/
Server: 
Strict-Tr",,,,,
scan.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://virusdesk.kaspersky.com/
Server: 
Str",,,,,
virusdesk.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://virusdesk.kaspersky.com/
Server: 
Str",,,,,
jp.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.co.jp/
Server: 
Strict-",,,,,
barclays.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.co.uk/products-services/a",,,,,
caribbean.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com
Server: 
Strict-Tra",,,,,
akcdn.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
analyze.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
antivirus.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
gl.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
multisite-support.geo.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
multisite.geo.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
multisiteeurope.geo.kaspersky.com,185.85.15.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
origin-aktest.kaspersky.com,77.74.178.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
support.geo.kaspersky.com,93.159.228.24,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
supportcn.geo.kaspersky.com,93.159.228.24,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
whitelisting.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
whitelist.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/
Server: 
Strict-Tr",,,,,
innovations.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/blog/open-innovation/",,,,,
innovation.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/blog/open-innovation/",,,,,
incubator.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/incubator
Server: 
",,,,,
ksn.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Cache-Control: public, must-revalidate, max-age=86400, min-fresh=1200
Content-Type: text/html; charset=UTF-8
Location: https://www.kaspersky.com/ksn
Server: 
Strict",,,,,
xtraining.kaspersky.com,62.182.19.228,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Connection: Keep-Alive
Keep-Alive: timeout=5, max=100
x-dns-prefetch-control: on
content-type: text/html; charset=UTF-8
x-xss-protection: 1;mode=block
x-content-ty",,,,,
aes.geo.kaspersky.com,212.8.233.173,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Length: 375
Date: Thu, 24 Apr 2025 06:02:13 GMT
Location: https://www.kaspersky.com/download
Content-Type: text/html
Set-Cookie: klid=ade908d46809d3e56c6ff5",,,,,
devbuilds.kaspersky.com,212.8.233.173,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Length: 375
Date: Thu, 24 Apr 2025 06:03:32 GMT
Location: https://www.kaspersky.com/download
Content-Type: text/html
Set-Cookie: klid=ade908d46809d4346c6ff4",,,,,
edge.geo.kaspersky.com,62.128.100.83,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Length: 375
Date: Thu, 24 Apr 2025 06:03:50 GMT
Location: https://www.kaspersky.com/download
Content-Type: text/html
Set-Cookie: klid=5364803e6809d446715f28",,,,,
ocsp.geo.kaspersky.com,212.8.233.173,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Length: 375
Date: Thu, 24 Apr 2025 06:06:09 GMT
Location: https://www.kaspersky.com/download
Content-Type: text/html
Set-Cookie: klid=ade908d46809d4d16c6ff5",,,,,
account.ca.uis.kaspersky.com,94.158.243.37,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=UTF-8
Location: https://account.ca.uis.kaspersky.com/
Server: Microsoft-IIS/10.0
X-Powered-By: ASP.NET
Strict-Transport-Security: m",,,,,
account.eu.uis.kaspersky.com,94.158.243.37,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=UTF-8
Location: https://account.eu.uis.kaspersky.com/
Server: Microsoft-IIS/10.0
X-Powered-By: ASP.NET
Strict-Transport-Security: m",,,,,
account.hq.uis.kaspersky.com,77.74.179.130,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Content-Type: text/html; charset=UTF-8
Location: https://account.hq.uis.kaspersky.com/
Server: Microsoft-IIS/10.0
X-Powered-By: ASP.NET
Strict-Transport-Security: m",,,,,
